Customer Name,Sales,Orders,Recency,R Score,F Score,M Score,RFM Score,Segment
Jim Karlsson,3760.03,7,61,3,4,4,344,Clients fidèles
Michelle Moray,2749.88,8,61,3,4,4,344,Clients fidèles
Adrian Hane,1735.51,7,60,3,4,3,343,Clients fidèles
Craig Yedwab,2004.08,7,60,3,4,3,343,Clients fidèles
Sandra Flanagan,763.55,7,59,3,3,1,331,Clients à risque
Sarah Foster,3422.79,9,59,3,5,4,354,Clients fidèles
Nancy Lomonaco,1418.09,4,58,3,2,2,322,Clients à risque
Thea Hudgings,2942.77,4,58,3,2,4,324,Clients à potentiel
Thomas Boland,3589.3,4,58,3,2,4,324,Clients à potentiel
Nora Paige,3908.4,5,58,3,3,4,334,Clients à potentiel
Cindy Stewart,5690.05,6,58,3,3,5,335,Clients à potentiel
Anthony Rawles,4523.34,8,58,3,4,5,345,Clients fidèles
Ken Heidel,3918.97,9,58,3,5,4,354,Clients fidèles
Beth Fritzler,791.99,3,57,3,1,1,311,Clients à risque
Denise Leinenbach,585.02,4,57,3,1,1,311,Clients à risque
Peter Bأ¼hler,688.32,4,57,3,1,1,311,Clients à risque
Kimberly Carter,1146.05,4,57,3,1,2,312,Clients à risque
Clay Rozendal,2148.85,4,57,3,2,3,323,Clients à potentiel
Julie Creighton,858.58,5,57,3,2,1,321,Clients à risque
Eva Jacobs,2656.69,5,57,3,2,3,323,Clients à potentiel
Bruce Geld,1006.36,6,57,3,3,2,332,Clients à risque
Daniel Lacy,3272.2,6,57,3,3,4,334,Clients à potentiel
Darrin Martin,6345.1,7,57,3,4,5,345,Clients fidèles
Paul Gonzalez,1987.16,9,57,3,5,3,353,Clients fidèles
Jack O'Briant,3254.95,9,57,3,5,4,354,Clients fidèles
Justin MacKendrick,2833.93,10,57,3,5,4,354,Clients fidèles
Grant Thornton,9351.21,3,56,3,1,5,315,Clients à potentiel
Christina Anderson,2638.33,8,56,3,4,3,343,Clients fidèles
Katherine Murray,5620.19,8,56,3,4,5,345,Clients fidèles
Alan Haines,1587.45,4,55,3,2,2,322,Clients à risque
Ruben Ausman,3546.22,6,55,3,3,4,334,Clients à potentiel
Anna Andreadi,5086.94,6,55,3,3,5,335,Clients à potentiel
Troy Staebel,2820.42,7,55,3,4,4,344,Clients fidèles
Elizabeth Moffitt,2339.6,8,55,3,4,3,343,Clients fidèles
Carol Darley,639.77,3,54,3,1,1,311,Clients à risque
Roger Barcio,2067.45,4,54,3,2,3,323,Clients à potentiel
Harry Greene,785.63,5,54,3,2,1,321,Clients à risque
Liz Carlisle,2095.06,5,54,3,2,3,323,Clients à potentiel
Maris LaWare,2885.26,5,54,3,2,4,324,Clients à potentiel
Victoria Brennan,2005.6,6,54,3,3,3,333,Clients à potentiel
Valerie Mitchum,2454.87,7,54,3,4,3,343,Clients fidèles
Jill Fjeld,4198.33,8,54,3,4,4,344,Clients fidèles
Adam Bellavance,7755.62,8,54,3,4,5,345,Clients fidèles
Zuschuss Carroll,8025.71,13,54,3,5,5,355,Clients fidèles
Erin Creighton,461.91,5,53,3,2,1,321,Clients à risque
Deborah Brumfield,4655.9,8,53,4,4,5,445,Champions
Kean Nguyen,2171.96,5,52,4,2,3,423,Clients à potentiel
Peter McVee,4115.66,4,51,4,2,4,424,Clients à potentiel
Matt Collister,2426.07,6,51,4,3,3,433,Clients à potentiel
Joel Eaton,6760.81,13,51,4,5,5,455,Champions
Ann Blume,1515.86,4,50,4,2,2,422,Clients à risque
Gary Hwang,4172.85,4,50,4,2,4,424,Clients à potentiel
Daniel Raglin,8350.87,8,50,4,5,5,455,Champions
Thomas Brumley,816.17,4,49,4,1,1,411,Clients à risque
Michelle Huthwaite,2984.95,5,49,4,2,4,424,Clients à potentiel
Catherine Glotzbach,904.47,6,49,4,3,1,431,Clients à risque
Meg Tillman,2890.14,6,49,4,3,4,434,Clients à potentiel
Jeremy Lonsdale,3173.87,6,49,4,3,4,434,Clients à potentiel
Larry Blacks,50.19,3,48,4,1,1,411,Clients à risque
Nathan Gelder,1395.94,5,48,4,2,2,422,Clients à risque
Nat Gilpin,1869.58,5,48,4,2,3,423,Clients à potentiel
Eugene Moren,4588.44,6,48,4,3,5,435,Clients à potentiel
David Bremer,2973.09,7,48,4,4,4,444,Champions
Jim Epp,7754.98,7,48,4,4,5,445,Champions
Don Jones,2501.69,8,48,4,4,3,443,Clients fidèles
Sylvia Foulston,3336.54,9,48,4,5,4,454,Champions
Ed Braxton,3644.98,9,48,4,5,4,454,Champions
Maria Bertelson,1548.7,10,48,4,5,2,452,Clients fidèles
Erin Mull,228.99,4,47,4,1,1,411,Clients à risque
Sean Braxton,8057.89,7,47,4,4,5,445,Champions
Stefania Perrino,5440.32,9,47,4,5,5,455,Champions
Cassandra Brandow,5730.67,9,47,4,5,5,455,Champions
Ken Lonsdale,14175.23,12,47,4,5,5,455,Champions
Arthur Wiediger,2852.97,7,46,4,4,4,444,Champions
Pauline Webber,3454.92,10,46,4,5,4,454,Champions
Joe Elijah,8697.84,10,46,4,5,5,455,Champions
Dana Kaydos,4282.18,5,45,4,3,5,435,Clients à potentiel
Mitch Willingham,5253.88,2,44,4,1,5,415,Clients à potentiel
Eileen Kiefer,1303.48,4,44,4,1,2,412,Clients à risque
Mick Brown,1428.23,7,44,4,3,2,432,Clients à risque
Jay Kimmel,2136.46,7,44,4,4,3,443,Clients fidèles
Christopher Conant,12129.07,5,43,4,3,5,435,Clients à potentiel
Hunter Lopez,12873.3,6,43,4,3,5,435,Clients à potentiel
Joy Bell-,644.12,7,43,4,3,1,431,Clients à risque
Greg Guthrie,2224.0,9,43,4,5,3,453,Clients fidèles
Clytie Kelty,2372.75,11,43,4,5,3,453,Clients fidèles
Xylona Preis,2374.66,11,43,4,5,3,453,Clients fidèles
Christina DeMoss,1205.58,2,42,4,1,2,412,Clients à risque
Jim Sink,990.2,3,42,4,1,2,412,Clients à risque
Russell D'Ascenzo,970.94,4,42,4,1,2,412,Clients à risque
Jane Waco,7721.71,6,42,4,3,5,435,Clients à potentiel
Dave Kipp,2650.56,7,42,4,4,3,443,Clients fidèles
Maria Etezadi,10663.73,10,42,4,5,5,455,Champions
Adrian Shami,58.82,2,41,4,1,1,411,Clients à risque
Aimee Bixby,966.71,5,41,4,2,2,422,Clients à risque
Dorothy Dickinson,269.54,6,41,4,3,1,431,Clients à risque
Anne Pryor,545.93,6,41,4,3,1,431,Clients à risque
Katherine Ducich,1888.96,6,41,4,3,3,433,Clients à potentiel
Nathan Cano,2218.99,6,41,4,3,3,433,Clients à potentiel
Jonathan Howell,959.48,7,41,4,3,2,432,Clients à risque
Richard Bierner,1864.16,7,41,4,4,3,443,Clients fidèles
Art Ferguson,2052.91,7,41,4,4,3,443,Clients fidèles
Stewart Carmichael,4492.66,7,41,4,4,5,445,Champions
Linda Cazamias,4492.95,8,41,4,4,5,445,Champions
Justin Deggeller,8828.03,8,41,4,5,5,455,Champions
Mick Crebagga,2218.98,10,41,4,5,3,453,Clients fidèles
Adrian Barton,14473.57,10,41,4,5,5,455,Champions
Liz Pelletier,756.61,4,40,4,1,1,411,Clients à risque
Carlos Daly,2033.97,5,40,4,2,3,423,Clients à potentiel
Erica Smith,3510.46,5,40,4,3,4,434,Clients à potentiel
Katharine Harms,3312.86,8,40,4,4,4,444,Champions
Sample Company A,4624.57,9,40,4,5,5,455,Champions
Barry Franz,1333.88,4,39,4,1,2,412,Clients à risque
Benjamin Patterson,1181.49,5,39,4,2,2,422,Clients à risque
Patrick Jones,1220.09,8,39,4,4,2,442,Clients fidèles
Cindy Chapman,1659.44,9,39,4,5,2,452,Clients fidèles
Chloris Kastensmidt,3154.86,13,39,4,5,4,454,Champions
Frank Olsen,2678.44,10,38,4,5,3,453,Clients fidèles
Christopher Martinez,8954.02,4,37,4,2,5,425,Clients à potentiel
Janet Molinari,1804.15,5,37,4,2,3,423,Clients à potentiel
Janet Martin,3159.12,6,37,4,3,4,434,Clients à potentiel
Jennifer Patt,1669.13,7,37,4,4,2,442,Clients fidèles
Tamara Dahlen,1434.55,9,37,4,5,2,452,Clients fidèles
Dan Campbell,3336.17,9,37,4,5,4,454,Champions
Frank Hawley,4256.27,10,37,4,5,4,454,Champions
Michael Dominguez,1204.91,5,36,4,2,2,422,Clients à risque
Patrick Ryan,1840.18,5,36,4,2,3,423,Clients à potentiel
Brooke Gillingham,1874.17,6,36,4,3,3,433,Clients à potentiel
Todd Sumrall,11891.75,6,36,4,3,5,435,Clients à potentiel
Kelly Andreada,1519.51,7,36,4,4,2,442,Clients fidèles
Shaun Chance,1875.0,7,36,4,4,3,443,Clients fidèles
Roland Schwarz,4159.77,8,36,4,4,4,444,Champions
Frank Merwin,3736.2,9,36,4,5,4,454,Champions
Greg Tran,11820.12,11,36,4,5,5,455,Champions
Patrick Gardner,3086.91,13,36,4,5,4,454,Champions
Tracy Zic,1707.29,4,35,4,2,2,422,Clients à risque
Henia Zydlo,886.52,5,35,4,2,1,421,Clients à risque
Brendan Sweed,2454.93,6,35,4,3,3,433,Clients à potentiel
Bradley Drucker,4411.24,6,35,4,3,5,435,Clients à potentiel
Rose O'Brian,3815.48,7,35,4,4,4,444,Champions
Edward Becker,3236.31,10,35,4,5,4,454,Champions
Sam Zeldin,3625.33,11,35,4,5,4,454,Champions
Guy Thornton,226.44,4,34,4,1,1,411,Clients à risque
Lynn Smith,1008.14,6,34,4,3,2,432,Clients à risque
Michael Nguyen,2477.95,6,34,4,3,3,433,Clients à potentiel
Frank Gastineau,1383.14,7,34,4,3,2,432,Clients à risque
Corey Catlett,2540.63,7,34,4,4,3,443,Clients fidèles
Liz Thompson,2936.25,8,34,4,4,4,444,Champions
Adam Hart,3250.34,10,34,4,5,4,454,Champions
Justin Ritter,2201.69,5,33,4,2,3,423,Clients à potentiel
Lindsay Williams,3230.31,6,33,4,3,4,434,Clients à potentiel
Doug Bickford,1989.05,7,33,4,4,3,443,Clients fidèles
Bill Donatelli,5426.56,11,33,4,5,5,455,Champions
Brian Moss,7294.19,11,33,4,5,5,455,Champions
Resi Pأ¶lking,5153.08,12,33,4,5,5,455,Champions
Deirdre Greer,3195.82,5,32,4,2,4,424,Clients à potentiel
Rick Hansen,3621.38,5,32,4,3,4,434,Clients à potentiel
Ross Baird,4932.61,8,32,4,4,5,445,Champions
Ted Trevino,4915.6,7,31,4,4,5,445,Champions
Victor Preis,993.9,3,30,4,1,2,412,Clients à risque
Stuart Calhoun,279.26,4,30,4,1,1,411,Clients à risque
Maria Zettner,593.61,4,30,4,1,1,411,Clients à risque
Scott Williamson,1966.65,6,30,4,3,3,433,Clients à potentiel
Harold Pawlan,1990.31,7,30,4,4,3,443,Clients fidèles
Parhena Norris,1467.15,8,30,4,4,2,442,Clients fidèles
Trudy Brown,2797.67,9,30,4,5,4,454,Champions
Shahid Collister,5992.54,9,30,4,5,5,455,Champions
Dianna Vittorini,3254.49,5,29,4,2,4,424,Clients à potentiel
Sarah Jordon,1341.04,6,29,4,3,2,432,Clients à risque
Sean O'Donnell,2602.58,6,29,4,3,3,433,Clients à potentiel
Sean Christensen,3650.47,6,29,4,3,4,434,Clients à potentiel
Joseph Holt,7955.0,6,29,4,3,5,435,Clients à potentiel
Max Ludwig,1663.17,7,29,4,4,2,442,Clients fidèles
Maribeth Yedwab,2254.28,7,29,4,4,3,443,Clients fidèles
Craig Carreira,2269.7,7,29,4,4,3,443,Clients fidèles
Matthew Grinstein,3785.28,7,29,4,4,4,444,Champions
Alan Dominguez,6106.88,8,29,4,4,5,445,Champions
Sally Hughsby,2465.66,12,29,4,5,3,453,Clients fidèles
Juliana Krohn,3747.67,3,28,4,1,4,414,Clients à potentiel
Alice McCarthy,814.01,5,28,4,2,1,421,Clients à risque
Bill Stewart,3887.83,5,28,4,3,4,434,Clients à potentiel
Joy Smith,2516.49,6,28,4,3,3,433,Clients à potentiel
Roy Phan,2055.36,7,28,4,4,3,443,Clients fidèles
Giulietta Weimer,2189.02,7,28,4,4,3,443,Clients fidèles
Max Engle,1908.45,8,28,4,4,3,443,Clients fidèles
Michael Kennedy,2302.37,8,28,4,4,3,443,Clients fidèles
Barry Gonzalez,2798.95,8,28,4,4,4,444,Champions
Kunst Miller,4909.47,8,28,4,4,5,445,Champions
Adam Shillingsburg,3255.31,9,28,4,5,4,454,Champions
Erin Smith,4657.92,9,28,4,5,5,455,Champions
Brenda Bowman,6765.73,9,28,4,5,5,455,Champions
Victoria Wilson,6134.04,10,28,4,5,5,455,Champions
Chuck Sachs,550.64,2,27,4,1,1,411,Clients à risque
Clay Cheatham,113.83,3,27,4,1,1,411,Clients à risque
Corinna Mitchell,5890.51,5,27,4,3,5,435,Clients à potentiel
Matt Collins,1303.89,8,27,4,4,2,442,Clients fidèles
Lena Cacioppo,2580.7,8,27,4,4,3,443,Clients fidèles
Toby Carlisle,4266.81,8,27,4,4,5,445,Champions
Mark Van Huff,1560.05,9,27,4,5,2,452,Clients fidèles
Natalie DeCherney,4326.14,9,27,4,5,5,455,Champions
Larry Tron,329.88,3,26,4,1,1,411,Clients à risque
Michael Stewart,855.12,6,26,4,3,1,431,Clients à risque
Charles McCrossin,2533.31,6,26,4,3,3,433,Clients à potentiel
Lena Radford,5142.89,6,26,5,3,5,535,Clients à potentiel
Doug O'Connell,1267.32,7,26,5,3,2,532,Clients à risque
Katrina Edelman,1453.28,7,26,5,3,2,532,Clients à risque
Christy Brittain,1949.2,8,26,5,4,3,543,Clients fidèles
Chris Selesnick,2754.22,12,26,5,5,4,554,Champions
Bart Folk,272.95,3,25,5,1,1,511,Clients à risque
Patrick Bzostek,740.36,3,25,5,1,1,511,Clients à risque
Rob Beeghly,528.55,5,25,5,2,1,521,Clients à risque
Naresj Patel,5529.62,6,25,5,3,5,535,Clients à potentiel
Alan Barnes,1113.84,8,25,5,4,2,542,Clients fidèles
Quincy Jones,6108.34,9,25,5,5,5,555,Champions
Carlos Soltero,3036.55,11,25,5,5,4,554,Champions
Suzanne McNair,4464.86,11,25,5,5,5,555,Champions
Brad Norvell,265.3,4,24,5,1,1,511,Clients à risque
Debra Catini,1174.62,5,23,5,2,2,522,Clients à risque
Frank Preis,4046.75,8,23,5,4,4,544,Champions
Brosina Hoffman,6255.35,8,23,5,4,5,545,Champions
David Smith,2881.81,9,23,5,5,4,554,Champions
Shahid Hopkins,2180.72,10,23,5,5,3,553,Clients fidèles
Henry Goldwyn,3247.64,12,23,5,5,4,554,Champions
Emily Grady,1832.02,5,22,5,2,3,523,Clients à potentiel
Alan Schoenberger,4260.78,5,22,5,3,4,534,Clients à potentiel
Carl Weiss,1136.59,6,22,5,3,2,532,Clients à risque
Keith Herrera,5229.69,6,22,5,3,5,535,Clients à potentiel
Luke Foster,3930.51,7,22,5,4,4,544,Champions
Max Jones,6320.75,7,22,5,4,5,545,Champions
Delfina Latchford,1458.26,8,22,5,4,2,542,Clients fidèles
Denise Monton,4074.47,8,22,5,4,4,544,Champions
Angele Hood,738.5,4,21,5,1,1,511,Clients à risque
Alyssa Tate,1166.07,5,21,5,2,2,522,Clients à risque
Laurel Elliston,1469.45,6,21,5,3,2,532,Clients à risque
Herbert Flentye,2533.16,7,21,5,4,3,543,Clients fidèles
Luke Weiss,5420.51,7,21,5,4,5,545,Champions
Daniel Byrd,2171.6,8,21,5,4,3,543,Clients fidèles
Lena Hernandez,2295.33,9,21,5,5,3,553,Clients fidèles
Roger Demir,1419.74,10,21,5,5,2,552,Clients fidèles
John Lee,9576.34,10,21,5,5,5,555,Champions
Damala Kotsonis,3256.48,12,21,5,5,4,554,Champions
Justin Ellison,2697.25,3,20,5,1,3,513,Clients à potentiel
Anthony Witt,649.38,4,20,5,1,1,511,Clients à risque
Stephanie Ulpright,2595.36,7,20,5,4,3,543,Clients fidèles
Brian Thompson,3196.75,7,20,5,4,4,544,Champions
Helen Andreada,2584.16,8,20,5,4,3,543,Clients fidèles
Lindsay Shagiari,2988.67,9,20,5,5,4,554,Champions
William Brown,6129.71,10,20,5,5,5,555,Champions
Chris Cortes,3670.26,11,20,5,5,4,554,Champions
Roy Skaria,22.33,2,19,5,1,1,511,Clients à risque
Ralph Ritter,615.93,2,19,5,1,1,511,Clients à risque
Darrin Van Huff,1119.48,5,19,5,2,2,522,Clients à risque
Alejandro Savely,3214.24,6,19,5,3,4,534,Clients à potentiel
Mike Vittorini,1734.57,7,19,5,4,3,543,Clients fidèles
Katherine Nockton,2224.09,8,19,5,4,3,543,Clients fidèles
Dennis Kane,3318.49,8,19,5,4,4,544,Champions
Allen Armold,1056.39,9,19,5,5,2,552,Clients fidèles
Nona Balk,1972.6,9,19,5,5,3,553,Clients fidèles
Mitch Webber,5341.9,7,17,5,4,5,545,Champions
Bart Pistole,2442.04,12,17,5,5,3,553,Clients fidèles
Gary Mitchum,3078.62,6,16,5,3,4,534,Clients à potentiel
Dave Brooks,4151.51,6,16,5,3,4,534,Clients à potentiel
Mike Pelletier,4757.33,8,16,5,4,5,545,Champions
Kelly Lampkin,5016.49,8,16,5,4,5,545,Champions
Ben Ferrer,5907.97,11,16,5,5,5,555,Champions
Lena Creighton,7663.13,12,16,5,5,5,555,Champions
Paul Lucas,239.48,5,15,5,2,1,521,Clients à risque
Khloe Miller,453.54,5,15,5,2,1,521,Clients à risque
Saphhira Shifley,1324.03,8,15,5,4,2,542,Clients fidèles
Andy Yotov,497.01,4,14,5,1,1,511,Clients à risque
Andrew Roberts,264.86,5,14,5,2,1,521,Clients à risque
Kalyca Meade,2260.96,6,14,5,3,3,533,Clients à potentiel
Ross DeVincentis,1137.62,8,14,5,4,2,542,Clients fidèles
Hallie Redmond,940.59,4,13,5,1,2,512,Clients à risque
Christine Abelman,1421.95,4,13,5,2,2,522,Clients à risque
Vicky Freymann,847.94,5,13,5,2,1,521,Clients à risque
Giulietta Baptist,4716.29,5,13,5,3,5,535,Clients à potentiel
Logan Currie,2633.58,9,13,5,5,3,553,Clients fidèles
Annie Thurman,3831.86,10,13,5,5,4,554,Champions
Arianne Irving,4375.79,10,13,5,5,5,555,Champions
Harold Engle,755.46,3,12,5,1,1,511,Clients à risque
Doug Jacobs,3356.4,3,12,5,1,4,514,Clients à potentiel
Duane Benoit,1155.2,7,12,5,3,2,532,Clients à risque
Aaron Hawkins,1744.7,7,12,5,4,3,543,Clients fidèles
Beth Paige,2475.16,7,12,5,4,3,543,Clients fidèles
Tonja Turnell,5364.81,7,12,5,4,5,545,Champions
Russell Applegate,4793.54,9,12,5,5,5,555,Champions
Emily Phan,5478.06,17,12,5,5,5,555,Champions
Tony Sayre,2243.27,6,11,5,3,3,533,Clients à potentiel
Amy Cox,5527.85,7,11,5,4,5,545,Champions
David Kendrick,389.09,2,10,5,1,1,511,Clients à risque
Dean Katz,4802.39,9,10,5,5,5,555,Champions
Brian Derr,582.65,3,9,5,1,1,511,Clients à risque
Bradley Nguyen,1459.34,5,9,5,2,2,522,Clients à risque
Liz Preis,3104.44,6,9,5,3,4,534,Clients à potentiel
Yana Sorensen,6720.44,8,9,5,4,5,545,Champions
Dean Braden,2332.58,10,9,5,5,3,553,Clients fidèles
Sanjit Engle,12209.44,11,9,5,5,5,555,Champions
Rick Bensley,4715.47,12,9,5,5,5,555,Champions
Pete Kriz,8646.93,12,9,5,5,5,555,Champions
Sally Knutson,883.41,3,8,5,1,1,511,Clients à risque
Sandra Glassco,3406.58,3,8,5,1,4,514,Clients à potentiel
Chad McGuire,1661.61,4,8,5,2,2,522,Clients à risque
Alex Grayson,660.97,5,8,5,2,1,521,Clients à risque
Jim Mitchum,864.95,5,8,5,2,1,521,Clients à risque
Sharelle Roach,3233.48,5,8,5,2,4,524,Clients à potentiel
Jack Lebron,1214.96,6,8,5,3,2,532,Clients à risque
Charlotte Melton,1475.14,6,8,5,3,2,532,Clients à risque
Jeremy Pistek,3635.59,7,8,5,4,4,544,Champions
Theone Pippenger,4454.06,9,8,5,5,5,555,Champions
Darren Koutras,1687.04,5,7,5,2,2,522,Clients à risque
Monica Federle,1758.3,5,7,5,2,3,523,Clients à potentiel
Julia Barnett,2518.12,5,7,5,2,3,523,Clients à potentiel
Gary Zandusky,4355.15,9,7,5,5,5,555,Champions
Jennifer Braxton,1791.61,10,7,5,5,3,553,Clients fidèles
Filia McAdams,2456.64,10,7,5,5,3,553,Clients fidèles
Michael Moore,3640.26,10,7,5,5,4,554,Champions
Neola Schneider,2575.86,4,6,5,2,3,523,Clients à potentiel
James Lanier,1571.52,5,6,5,2,2,522,Clients à risque
Ann Chong,2537.69,5,6,5,2,3,523,Clients à potentiel
Robert Marley,5979.1,5,6,5,3,5,535,Clients à potentiel
Andy Reiter,6608.45,6,6,5,3,5,535,Clients à potentiel
Roy Franzأ¶sisch,938.86,7,6,5,3,2,532,Clients à risque
Hunter Glantz,3690.28,7,6,5,4,4,544,Champions
Nick Crebassa,8241.74,7,6,5,4,5,545,Champions
Dave Poirier,2215.0,8,6,5,4,3,543,Clients fidèles
Alan Hwang,4805.34,9,6,5,5,5,555,Champions
Christine Sundaresam,3202.16,11,6,5,5,4,554,Champions
Jennifer Halladay,309.28,4,5,5,1,1,511,Clients à risque
Giulietta Dortch,1888.07,4,5,5,2,3,523,Clients à potentiel
Joni Wasserman,1049.24,6,5,5,3,2,532,Clients à risque
Fred Hopkins,6987.2,8,5,5,4,5,545,Champions
Cynthia Voltz,2370.31,9,5,5,5,3,553,Clients fidèles
Ralph Arnett,2617.91,9,5,5,5,3,553,Clients fidèles
Mick Hernandez,5503.09,9,5,5,5,5,555,Champions
Guy Armstrong,1398.38,11,5,5,5,2,552,Clients fidèles
Yoseph Carroll,5454.35,5,4,5,3,5,535,Clients à potentiel
Tracy Collins,742.56,7,4,5,3,1,531,Clients à risque
Karen Bern,3152.61,7,4,5,4,4,544,Champions
Patrick O'Brill,7473.83,11,4,5,5,5,555,Champions
Dan Reichenbach,6528.03,9,3,5,5,5,555,Champions
Greg Hansen,146.94,2,2,5,1,1,511,Clients à risque
Pamela Coakley,1832.06,4,2,5,2,3,523,Clients à potentiel
Lori Olson,644.35,5,2,5,2,1,521,Clients à risque
Jennifer Ferguson,2309.43,5,2,5,2,3,523,Clients à potentiel
Jason Gross,2240.58,6,2,5,3,3,533,Clients à potentiel
Erica Hernandez,1219.53,7,2,5,3,2,532,Clients à risque
Kristen Hastings,5990.8,7,2,5,4,5,545,Champions
Susan Vittorini,1903.49,8,2,5,4,3,543,Clients fidèles
Christopher Schild,3651.86,9,2,5,5,4,554,Champions
Harry Marie,8236.76,10,2,5,5,5,555,Champions
Katherine Hughes,3100.61,6,1,5,3,4,534,Clients à potentiel
Ken Brennan,983.92,7,1,5,3,2,532,Clients à risque
Bruce Stewart,2562.38,7,1,5,4,3,543,Clients fidèles
Michael Chen,3805.71,7,1,5,4,4,544,Champions
Ben Peterman,3675.86,9,1,5,5,4,554,Champions
James Galang,6366.39,11,1,5,5,5,555,Champions
Erica Bern,1643.26,4,0,5,2,2,522,Clients à risque
Jill Matthias,303.95,5,0,5,2,1,521,Clients à risque
Patrick O'Donnell,2493.21,7,0,5,4,3,543,Clients fidèles
Chuck Clark,2870.05,10,0,5,5,4,554,Champions
